"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"1xn","LNG Esports","ADC",13,"69%","38%",63,25,78,5.6,"71.9%","32.1%","17.4%",,,,,10.1,,891,"32.2%",,,377,"28.5%",,0.41,0.13,0.43
"About","Team WE","ADC",33,"18%","55%",103,119,124,1.9,"69.2%","31.4%","20.0%",,,,,10.1,,710,"29.7%",,,335,"28.2%",,0.48,0.18,0.32
"Ahn","ThunderTalk Gaming","ADC",14,"57%","71%",66,31,81,4.7,"72.8%","32.7%","17.6%",,,,,9.9,,724,"28.0%",,,371,"27.9%",,0.46,0.17,0.4
"Angel","EDward Gaming","Middle",12,"50%","17%",33,30,56,3,"67.4%","25.0%","19.6%",,,,,9,,610,"24.8%",,,260,"20.9%",,0.43,0.18,0.29
"Assum","Ninjas in Pyjamas","ADC",33,"48%","61%",144,91,155,3.3,"64.9%","31.2%","19.8%",,,,,9.9,,809,"29.5%",,,361,"28.0%",,0.46,0.15,0.31
"Bin","Bilibili Gaming","Top",32,"75%","28%",87,87,202,3.3,"45.4%","13.7%","21.2%",,,,,8.9,,609,"19.8%",,,274,"19.6%",,0.45,0.12,0.19
"Breathe","Invictus Gaming","Top",35,"43%","49%",78,94,166,2.6,"50.2%","16.0%","16.9%",,,,,8.5,,625,"22.6%",,,253,"20.4%",,0.52,0.22,0.17
"BuLLDoG","LNG Esports","Middle",13,"69%","54%",40,27,89,4.8,"65.8%","20.4%","18.8%",,,,,8.6,,699,"25.3%",,,266,"20.1%",,0.47,0.24,0.26
"Burdol","LGD Gaming","Top",12,"50%","33%",27,20,39,3.3,"47.1%","19.3%","15.3%",,,,,9.3,,603,"25.3%",,,278,"22.0%",,0.42,0.22,0.23
"Care","Ninjas in Pyjamas","Middle",33,"48%","36%",98,75,199,4,"64.4%","21.3%","16.3%",,,,,8.9,,611,"22.3%",,,276,"21.5%",,0.48,0.23,0.34
"Climber","Ultra Prime","Jungle",12,"50%","33%",56,41,73,3.1,"79.1%","34.4%","25.8%",,,,,6.7,,453,"17.3%",,,264,"20.9%",,0.29,0.23,0.4
"Creme","Top Esports","Middle",30,"60%","53%",102,70,192,4.2,"64.5%","22.4%","15.9%",,,,,9,,753,"26.4%",,,284,"21.6%",,0.41,0.11,0.24
"Croco","LNG Esports","Jungle",13,"69%","62%",44,33,106,4.5,"76.5%","22.4%","22.9%",,,,,7.3,,425,"15.4%",,,270,"20.3%",,0.44,0.27,0.41
"Cube","Team WE","Top",33,"18%","55%",41,106,116,1.5,"47.9%","12.5%","17.8%",,,,,8.4,,517,"21.9%",,,227,"19.7%",,0.51,0.13,0.15
"Elk","Weibo Gaming","ADC",35,"46%","51%",133,98,173,3.1,"68.2%","29.6%","18.8%",,,,,9.9,,815,"29.6%",,,354,"28.5%",,0.4,0.16,0.4
"Erha","Team WE","Support",33,"18%","58%",23,117,239,2.2,"79.9%","7.0%","19.7%",,,,,1.1,,213,"9.2%",,,126,"10.9%",,1.83,0.5,0.48
"Feather","ThunderTalk Gaming","Support",14,"57%","50%",7,34,156,4.8,"80.7%","3.5%","19.3%",,,,,1.1,,209,"7.8%",,,127,"9.6%",,1.74,0.59,0.36
"fengyue","Top Esports","Support",30,"60%","43%",25,102,332,3.5,"78.3%","5.5%","23.1%",,,,,1,,221,"8.0%",,,143,"11.0%",,1.96,0.55,0.41
"Flandre","Anyone's Legend","Top",31,"55%","55%",77,70,162,3.4,"54.8%","17.7%","19.0%",,,,,8.7,,577,"22.0%",,,256,"20.4%",,0.47,0.19,0.2
"GALA","JD Gaming","ADC",35,"57%","43%",144,72,185,4.6,"63.3%","27.7%","16.8%",,,,,10,,759,"27.5%",,,349,"27.0%",,0.36,0.14,0.36
"Guwon","Ninjas in Pyjamas","Jungle",33,"48%","61%",126,119,202,2.8,"71.1%","27.3%","25.9%",,,,,6.9,,430,"15.7%",,,265,"20.7%",,0.36,0.24,0.32
"haichao","Oh My God","Middle",13,"23%","62%",37,25,33,2.8,"73.7%","38.9%","14.3%",,,,,9.3,,564,"24.0%",,,268,"23.4%",,0.48,0.2,0.23
"Hang","Weibo Gaming","Support",27,"37%","48%",12,97,262,2.8,"79.4%","3.5%","22.9%",,,,,1,,240,"8.9%",,,127,"10.3%",,1.98,0.51,0.39
"Hena","Ultra Prime","ADC",12,"50%","50%",36,31,77,3.6,"69.3%","22.1%","19.5%",,,,,9.4,,707,"28.2%",,,320,"25.6%",,0.48,0.14,0.39
"Heng","LGD Gaming","Jungle",12,"50%","58%",25,30,78,3.4,"73.6%","17.9%","22.9%",,,,,7,,332,"14.3%",,,248,"20.1%",,0.41,0.32,0.46
"Heru","ThunderTalk Gaming","Middle",14,"57%","50%",42,33,88,3.9,"64.4%","20.8%","18.8%",,,,,8.7,,657,"25.9%",,,262,"20.3%",,0.46,0.2,0.24
"Hery","Oh My God","Top",13,"23%","54%",12,39,31,1.1,"45.3%","12.6%","22.3%",,,,,8.8,,505,"21.4%",,,236,"20.8%",,0.5,0.14,0.15
"HongQ","JD Gaming","Middle",35,"57%","54%",127,86,238,4.2,"70.2%","24.4%","20.0%",,,,,8.7,,765,"27.6%",,,281,"21.6%",,0.61,0.32,0.24
"Hope","Anyone's Legend","ADC",31,"55%","29%",121,75,179,4,"68.8%","27.8%","20.4%",,,,,9.3,,696,"26.0%",,,337,"26.5%",,0.55,0.24,0.4
"HOYA","Ninjas in Pyjamas","Top",33,"48%","36%",70,92,168,2.6,"51.6%","15.2%","20.0%",,,,,8.1,,657,"24.5%",,,244,"19.1%",,0.56,0.21,0.17
"JackeyLove","Top Esports","ADC",30,"60%","63%",146,84,168,3.7,"68.9%","32.0%","19.0%",,,,,9.8,,797,"28.2%",,,351,"26.6%",,0.37,0.14,0.42
"JiaQi","Invictus Gaming","ADC",35,"43%","57%",134,109,196,3,"67.9%","27.6%","19.6%",,,,,10.1,,774,"28.1%",,,351,"28.4%",,0.41,0.14,0.38
"Jiejie","Weibo Gaming","Jungle",35,"46%","40%",114,92,228,3.7,"76.2%","25.4%","17.7%",,,,,7,,416,"15.3%",,,258,"20.8%",,0.34,0.28,0.41
"Juhan","Oh My God","Jungle",4,"25%","25%",9,13,14,1.8,"69.7%","27.3%","24.1%",,,,,6.8,,334,"12.9%",,,226,"20.1%",,0.37,0.34,0.32
"Junhao","ThunderTalk Gaming","Jungle",14,"57%","43%",48,33,104,4.6,"75.2%","23.8%","18.8%",,,,,7.7,,437,"16.3%",,,281,"21.2%",,0.42,0.33,0.46
"JunJia","JD Gaming","Jungle",35,"57%","46%",113,96,267,4,"73.1%","21.7%","22.4%",,,,,7.2,,459,"16.2%",,,262,"20.2%",,0.4,0.31,0.36
"Jwei","EDward Gaming","Support",14,"50%","36%",6,29,127,4.6,"84.7%","3.8%","17.2%",,,,,1.1,,164,"6.8%",,,125,"10.1%",,1.98,0.56,0.42
"Kael","Anyone's Legend","Support",31,"55%","52%",30,74,306,4.5,"77.1%","6.9%","20.1%",,,,,1.2,,228,"8.6%",,,135,"10.7%",,2.06,0.56,0.5
"Karis","Team WE","Middle",33,"18%","45%",84,108,105,1.8,"57.6%","25.6%","18.2%",,,,,8.7,,530,"22.7%",,,251,"21.3%",,0.38,0.15,0.25
"Keshi","ThunderTalk Gaming","Top",14,"57%","36%",39,45,88,2.8,"62.9%","19.3%","25.6%",,,,,9,,593,"22.0%",,,275,"21.0%",,0.47,0.17,0.2
"Knight","Bilibili Gaming","Middle",32,"75%","50%",224,52,228,8.7,"71.0%","35.2%","12.7%",,,,,9,,800,"25.7%",,,328,"23.5%",,0.33,0.12,0.28
"Leave","EDward Gaming","ADC",14,"50%","57%",51,36,78,3.6,"82.2%","32.5%","21.3%",,,,,9.9,,797,"32.7%",,,356,"28.4%",,0.32,0.09,0.37
"Meiko","Invictus Gaming","Support",35,"43%","37%",29,115,354,3.3,"78.8%","6.0%","20.7%",,,,,1,,261,"9.4%",,,135,"10.7%",,1.75,0.4,0.43
"MISSING","LNG Esports","Support",13,"69%","54%",12,33,143,4.7,"79.1%","6.1%","22.9%",,,,,1.1,,201,"7.2%",,,147,"11.1%",,2.04,0.48,0.47
"Moham","Oh My God","Support",13,"23%","54%",4,27,71,2.8,"78.9%","4.2%","15.4%",,,,,1.3,,193,"8.5%",,,115,"10.0%",,2.12,0.62,0.63
"Monki","Team WE","Jungle",29,"21%","48%",69,126,148,1.7,"72.1%","22.9%","24.1%",,,,,6.6,,379,"16.4%",,,237,"19.8%",,0.34,0.25,0.39
"Nia","Invictus Gaming","Middle",16,"44%","75%",63,62,85,2.4,"66.1%","28.1%","22.5%",,,,,8.5,,636,"23.8%",,,265,"20.8%",,0.39,0.14,0.19
"ON","Bilibili Gaming","Support",32,"75%","53%",19,98,432,4.6,"70.8%","3.0%","23.9%",,,,,1.1,,228,"7.5%",,,148,"10.6%",,2.19,0.69,0.48
"Photic","Oh My God","ADC",7,"14%","43%",11,16,21,2,"68.1%","23.4%","15.8%",,,,,9.9,,743,"33.3%",,,301,"26.8%",,0.39,0.06,0.41
"re0","Oh My God","Jungle",9,"22%","67%",8,36,31,1.1,"62.9%","12.9%","29.8%",,,,,6.8,,309,"13.9%",,,210,"18.2%",,0.4,0.35,0.3
"Renard","Invictus Gaming","Middle",19,"42%","47%",71,53,95,3.1,"63.4%","27.1%","18.9%",,,,,8.4,,647,"23.2%",,,256,"21.0%",,0.48,0.26,0.26
"Saber","Ultra Prime","Middle",10,"60%","40%",42,11,70,10.2,"76.7%","28.8%","9.3%",,,,,10,,706,"27.4%",,,307,"24.5%",,0.35,0.15,0.26
"Saber","Ultra Prime","Middle",2,"0%","50%",4,7,5,1.3,"52.9%","23.5%","17.1%",,,,,9.2,,492,"23.2%",,,294,"25.1%",,0.4,0.11,0.08
"sasi","Ultra Prime","Top",12,"50%","58%",18,35,61,2.3,"48.5%","11.0%","22.0%",,,,,8.1,,467,"19.0%",,,230,"18.7%",,0.49,0.11,0.16
"Shanks","Anyone's Legend","Middle",31,"55%","42%",120,72,177,4.1,"68.1%","27.5%","19.6%",,,,,8.7,,683,"25.8%",,,275,"21.9%",,0.46,0.14,0.2
"Shaoye","LGD Gaming","ADC",12,"50%","50%",40,32,49,2.8,"63.6%","28.6%","24.4%",,,,,9.4,,674,"27.9%",,,332,"26.5%",,0.46,0.14,0.32
"sheer","LNG Esports","Top",13,"69%","62%",37,26,67,4,"53.1%","18.9%","18.1%",,,,,8.6,,564,"20.0%",,,265,"20.0%",,0.45,0.17,0.16
"sinian","EDward Gaming","Middle",2,"50%","50%",5,5,12,3.4,"68.0%","20.0%","31.3%",,,,,8.1,,435,"19.0%",,,222,"17.8%",,0.44,0.24,0.26
"Starry","Oh My God","ADC",6,"33%","17%",14,19,21,1.8,"72.9%","29.2%","25.7%",,,,,10,,788,"31.5%",,,325,"27.3%",,0.4,0.14,0.26
"Tangyuan","LGD Gaming","Middle",12,"50%","75%",40,19,54,4.9,"67.1%","28.6%","14.5%",,,,,9.1,,627,"26.5%",,,266,"21.3%",,0.44,0.14,0.24
"Tarzan","Anyone's Legend","Jungle",31,"55%","55%",88,77,228,4.1,"72.5%","20.2%","20.9%",,,,,7.3,,474,"17.7%",,,260,"20.5%",,0.34,0.28,0.33
"TheHank","Weibo Gaming","Support",8,"75%","63%",2,32,84,2.7,"82.7%","1.9%","33.0%",,,,,1.1,,244,"9.5%",,,136,"10.5%",,1.79,0.54,0.55
"Tian","Top Esports","Jungle",30,"60%","37%",108,92,230,3.7,"74.1%","23.7%","20.9%",,,,,7.3,,470,"16.5%",,,277,"21.1%",,0.42,0.34,0.4
"Tyrion","Team WE","Jungle",4,"0%","50%",8,19,16,1.3,"88.9%","29.6%","26.4%",,,,,5.7,,428,"17.5%",,,218,"20.1%",,0.5,0.34,0.31
"Vampire","JD Gaming","Support",35,"57%","43%",27,84,354,4.5,"73.3%","5.2%","19.6%",,,,,1.1,,251,"9.0%",,,138,"10.7%",,2.06,0.58,0.54
"Viper","Bilibili Gaming","ADC",32,"75%","41%",165,79,254,5.3,"65.8%","25.9%","19.3%",,,,,9.7,,919,"30.3%",,,369,"26.2%",,0.62,0.26,0.34
"Wei","Invictus Gaming","Jungle",35,"43%","54%",111,122,249,3,"74.1%","22.8%","22.0%",,,,,6.4,,457,"16.3%",,,245,"19.6%",,0.41,0.34,0.37
"Xiaohao","EDward Gaming","Jungle",14,"50%","50%",32,31,76,3.5,"68.8%","20.4%","18.3%",,,,,7.1,,292,"12.0%",,,241,"19.5%",,0.44,0.31,0.43
"Xiaohu","Weibo Gaming","Middle",35,"46%","57%",107,102,188,2.9,"65.7%","23.8%","19.6%",,,,,8.7,,621,"23.3%",,,260,"21.0%",,0.37,0.14,0.29
"Xiaoxia","Ultra Prime","Support",12,"50%","50%",7,34,127,3.9,"82.2%","4.3%","21.4%",,,,,1,,218,"8.8%",,,128,"10.3%",,2.1,0.52,0.37
"Xiaoxu","JD Gaming","Top",35,"57%","71%",109,91,160,3,"51.7%","21.0%","21.2%",,,,,8.9,,554,"19.7%",,,266,"20.5%",,0.52,0.15,0.17
"Xun","Bilibili Gaming","Jungle",32,"75%","59%",142,94,308,4.8,"70.6%","22.3%","22.9%",,,,,7.1,,515,"16.7%",,,280,"20.1%",,0.32,0.26,0.31
"Ycx","LGD Gaming","Support",12,"50%","58%",8,30,97,3.5,"75.0%","5.7%","22.9%",,,,,1.1,,141,"6.1%",,,126,"10.1%",,1.97,0.55,0.41
"Zdz","EDward Gaming","Top",14,"50%","57%",30,38,68,2.6,"62.4%","19.1%","22.5%",,,,,9,,592,"24.6%",,,268,"21.5%",,0.51,0.21,0.21
"Zhuo","Ninjas in Pyjamas","Support",33,"48%","64%",23,83,350,4.5,"80.9%","5.0%","18.0%",,,,,1.2,,214,"8.0%",,,136,"10.6%",,1.9,0.43,0.49
"Zika","Weibo Gaming","Top",35,"46%","46%",81,100,166,2.5,"55.0%","18.0%","19.2%",,,,,8.3,,599,"22.8%",,,240,"19.4%",,0.38,0.14,0.19
"ZUIAN","Top Esports","Top",30,"60%","60%",75,93,164,2.6,"52.4%","16.4%","21.1%",,,,,8.2,,592,"20.9%",,,256,"19.7%",,0.47,0.15,0.17